2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Labor force exit rate, 2024–34 annual average","Occupational transfer rate, 2024–34 annual average","Total occupational separations rate, 2024–34 annual average","Labor force exits, 2024–34 annual average","Occupational transfers, 2024–34 annual average","Total occupational separations, 2024–34 annual average","Occupational openings, 2024–34 annual average",
      Purchasing managers,'11-3061,Line item,83.5,86.1,2.6,3.1,2.7,4.6,7.3,2.3,3.9,6.2,6.4,
"      Transportation, storage, and distribution managers",'11-3071,Line item,216.7,229.8,13.1,6.1,2.5,5.2,7.7,5.6,11.6,17.2,18.5,
      Compensation and benefits managers,'11-3111,Line item,20.9,20.9,0.0,0.2,2.9,4.1,7.0,0.6,0.9,1.5,1.5,
      Human resources managers,'11-3121,Line item,221.9,233.0,11.1,5.0,2.5,4.9,7.4,5.7,11.1,16.7,17.9,
      Training and development managers,'11-3131,Line item,46.4,49.2,2.7,5.8,2.4,5.1,7.5,1.1,2.4,3.6,3.8,
    Other management occupations,'11-9000,Summary,"5,585.8","5,897.1",311.3,5.6,3.5,4.4,7.9,201.5,254.8,456.3,487.4,
"      Farmers, ranchers, and other agricultural managers",'11-9013,Line item,836.1,825.0,-11.1,-1.3,7.1,3.3,10.4,59.0,27.6,86.6,85.5,
      Construction managers,'11-9021,Line item,550.3,598.4,48.1,8.7,2.5,4.9,7.3,14.1,27.9,42.0,46.8,
      Education and childcare administrators,'11-9030,Summary,710.2,708.2,-2.0,-0.3,2.4,4.0,6.5,17.1,28.6,45.8,45.6,
"        Education and childcare administrators, preschool and daycare",'11-9031,Line item,90.2,87.9,-2.3,-2.5,2.4,4.0,6.5,2.2,3.6,5.7,5.5,
"        Education administrators, kindergarten through secondary",'11-9032,Line item,333.3,328.1,-5.1,-1.5,2.4,4.0,6.5,8.0,13.3,21.3,20.8,
"        Education administrators, postsecondary",'11-9033,Line item,226.6,230.5,4.0,1.7,2.4,4.0,6.5,5.5,9.2,14.8,15.1,
"        Education administrators, all other",'11-9039,Line item,60.2,61.7,1.5,2.5,2.4,4.0,6.5,1.5,2.5,3.9,4.1,
      Architectural and engineering managers,'11-9041,Line item,212.5,220.5,8.0,3.8,2.2,4.2,6.3,4.7,9.0,13.7,14.5,
      Food service managers,'11-9051,Line item,352.8,375.3,22.6,6.4,3.5,7.4,10.9,12.7,27.0,39.8,42.0,
      Entertainment and recreation managers,'11-9070,Summary,48.3,51.7,3.4,7.0,4.4,7.1,11.6,2.2,3.6,5.8,6.1,
        Gambling managers,'11-9071,Line item,5.1,5.2,0.1,1.2,4.4,7.1,11.6,0.2,0.4,0.6,0.6,
"        Entertainment and recreation managers, except gambling",'11-9072,Line item,43.2,46.5,3.3,7.7,4.4,7.1,11.6,2.0,3.2,5.2,5.5,
      Lodging managers,'11-9081,Line item,52.0,53.8,1.8,3.4,3.9,6.0,9.9,2.0,3.2,5.2,5.4,
      Medical and health services managers,'11-9111,Line item,616.2,759.1,142.9,23.2,2.6,4.3,7.0,18.0,29.8,47.8,62.1,
      Natural sciences managers,'11-9121,Line item,104.3,108.2,3.9,3.7,2.2,5.4,7.6,2.3,5.8,8.1,8.5,
      Postmasters and mail superintendents,'11-9131,Line item,13.1,12.7,-0.5,-3.5,2.9,4.5,7.4,0.4,0.6,1.0,0.9,
"      Property, real estate, and community association managers",'11-9141,Line item,466.1,483.1,17.0,3.6,4.3,3.6,7.9,20.2,17.1,37.3,39.0,
      Social and community service managers,'11-9151,Line item,219.8,233.9,14.1,6.4,3.0,4.5,7.6,6.9,10.2,17.2,18.6,
      Emergency management directors,'11-9161,Line item,13.2,13.6,0.4,3.0,2.9,4.6,7.5,0.4,0.6,1.0,1.0,
      Personal service managers,'11-9170,Summary,57.1,60.1,3.0,5.2,2.9,4.5,7.4,1.7,2.6,4.3,4.6,
        Funeral home managers,'11-9171,Line item,32.1,33.4,1.3,4.1,2.9,4.5,7.4,1.0,1.5,2.4,2.6,
"        Personal service managers, all other",'11-9179,Line item,25.1,26.7,1.6,6.5,2.9,4.5,7.4,0.8,1.2,1.9,2.1,
"      Managers, all other",'11-9199,Line item,"1,333.7","1,393.5",59.8,4.5,2.9,4.5,7.4,39.6,61.1,100.7,106.7,
  Business and financial operations occupations,'13-0000,Summary,"11,262.0","11,848.9",586.9,5.2,3.0,4.6,7.6,348.6,535.2,883.8,942.5,
    Business operations specialists,'13-1000,Summary,"7,921.1","8,356.3",435.2,5.5,3.0,4.9,7.9,247.8,398.6,646.4,689.9,
"      Agents and business managers of artists, performers, and athletes",'13-1011,Line item,21.4,23.2,1.9,8.7,3.7,5.5,9.2,0.8,1.2,2.1,2.2,
      Buyers and purchasing agents,'13-1020,Line item,522.2,552.3,30.1,5.8,3.9,5.2,9.2,21.2,28.1,49.2,52.2,
"      Claims adjusters, appraisers, examiners, and investigators",'13-1030,Summary,365.3,346.3,-18.9,-5.2,2.5,4.1,6.6,9.0,14.5,23.5,21.6,
"        Claims adjusters, examiners, and investigators",'13-1031,Line item,356.1,337.9,-18.2,-5.1,2.5,4.1,6.6,8.8,14.1,22.9,21.1,
"        Insurance appraisers, auto damage",'13-1032,Line item,9.2,8.4,-0.8,-8.2,2.5,4.1,6.6,0.2,0.4,0.6,0.5,
      Compliance officers,'13-1041,Line item,418.0,430.3,12.3,3.0,3.3,4.2,7.6,14.1,17.9,32.0,33.3,
      Cost estimators,'13-1051,Line item,221.4,212.1,-9.3,-4.2,2.8,5.4,8.2,6.2,11.7,17.9,16.9,
      Human resources workers,'13-1070,Summary,"1,013.7","1,072.3",58.6,5.8,2.8,5.0,7.8,29.6,51.7,81.3,87.2,
        Human resources specialists,'13-1071,Line item,944.3,"1,002.7",58.4,6.2,2.8,5.0,7.8,27.7,48.2,75.9,81.8,
        Farm labor contractors,'13-1074,Line item,3.9,4.2,0.2,6.0,2.8,5.0,7.8,0.1,0.2,0.3,0.3,
        Labor relations specialists,'13-1075,Line item,65.4,65.4,-0.1,-0.1,2.8,5.0,7.8,1.9,3.2,5.1,5.1,
      Logisticians and project management specialists,'13-1080,Summary,"1,287.2","1,386.2",99.0,7.7,2.4,4.7,7.1,31.6,63.2,94.8,104.7,
        Logisticians,'13-1081,Line item,241.0,281.3,40.3,16.7,2.5,6.0,8.6,6.6,15.8,22.4,26.4,
        Project management specialists,'13-1082,Line item,"1,046.3","1,105.0",58.7,5.6,2.3,4.4,6.7,25.0,47.4,72.4,78.2,
      Management analysts,'13-1111,Line item,"1,075.1","1,169.7",94.5,8.8,3.5,4.4,7.9,38.9,49.8,88.7,98.1,
"      Meeting, convention, and event planners",'13-1121,Line item,155.8,163.3,7.5,4.8,3.6,5.7,9.3,5.7,9.1,14.8,15.5,
      Fundraisers,'13-1131,Line item,134.4,140.2,5.8,4.3,3.0,4.1,7.0,4.1,5.6,9.7,10.2,
"      Compensation, benefits, and job analysis specialists",'13-1141,Line item,107.0,112.7,5.6,5.3,2.9,4.3,7.2,3.2,4.7,7.9,8.5,
      Training and development specialists,'13-1151,Line item,452.3,501.0,48.7,10.8,3.0,5.2,8.2,14.3,24.8,39.1,43.9,
      Market research analysts and marketing specialists,'13-1161,Line item,941.7,"1,004.7",63.0,6.7,2.8,5.5,8.3,27.4,53.5,80.9,87.2,
"      Business operations specialists, all other",'13-1199,Line item,"1,205.7","1,242.0",36.3,3.0,3.4,5.1,8.5,41.8,62.8,104.6,108.2,
    Financial specialists,'13-2000,Summary,"3,340.9","3,492.6",151.7,4.5,3.0,4.0,6.9,100.8,136.6,237.4,252.6,
      Accountants and auditors,'13-2011,Line item,"1,579.8","1,652.6",72.8,4.6,3.1,4.2,7.2,49.7,67.2,116.9,124.2,
      Property appraisers and assessors,'13-2020,Line item,77.3,80.2,2.9,3.8,4.5,3.1,7.6,3.5,2.4,6.0,6.3,
      Budget analysts,'13-2031,Line item,50.4,51.0,0.5,1.0,2.2,3.8,6.0,1.1,1.9,3.0,3.1,
      Credit analysts,'13-2041,Line item,67.8,64.8,-3.0,-4.4,1.9,4.2,6.1,1.2,2.8,4.0,3.7,
      Financial analysts and advisors,'13-2050,Summary,881.9,934.9,53.0,6.0,2.6,3.7,6.3,23.2,33.8,57.0,62.3,
        Financial and investment analysts,'13-2051,Line item,368.5,389.6,21.1,5.7,2.1,4.0,6.1,7.9,15.1,23.0,25.1,
        Personal financial advisors,'13-2052,Line item,326.0,357.2,31.2,9.6,2.8,3.3,6.1,9.6,11.3,21.0,24.1,
        Insurance underwriters,'13-2053,Line item,127.0,123.7,-3.3,-2.6,3.1,3.7,6.8,3.9,4.7,8.6,8.2,
        Financial risk specialists,'13-2054,Line item,60.5,64.4,3.9,6.5,2.8,4.2,7.1,1.8,2.6,4.4,4.8,
      Financial examiners,'13-2061,Line item,65.1,77.2,12.1,18.5,3.3,3.1,6.3,2.3,2.2,4.5,5.7,
      Credit counselors and loan officers,'13-2070,Summary,333.2,339.3,6.1,1.8,2.7,3.8,6.5,9.0,12.9,21.9,22.5,
        Credit counselors,'13-2071,Line item,31.8,32.9,1.1,3.3,2.7,3.8,6.5,0.9,1.2,2.1,2.2,
        Loan officers,'13-2072,Line item,301.4,306.5,5.0,1.7,2.7,3.8,6.5,8.1,11.7,19.8,20.3,
"      Tax examiners, collectors and preparers, and revenue agents",'13-2080,Summary,148.2,151.2,3.0,2.1,4.6,5.0,9.6,6.8,7.5,14.4,14.7,
"        Tax examiners and collectors, and revenue agents",'13-2081,Line item,57.6,56.5,-1.0,-1.8,3.7,4.0,7.7,2.1,2.3,4.4,4.3,
        Tax preparers,'13-2082,Line item,90.6,94.7,4.1,4.5,5.1,5.6,10.8,4.7,5.2,10.0,10.4,
"      Financial specialists, all other",'13-2099,Line item,137.1,141.4,4.3,3.1,2.8,4.2,7.1,4.0,5.9,9.8,10.3,
  Computer and mathematical occupations,'15-0000,Summary,"5,416.7","5,962.3",545.6,10.1,2.1,3.2,5.3,117.6,183.2,300.8,355.4,
    Computer occupations,'15-1200,Summary,"4,985.6","5,414.4",428.8,8.6,2.0,3.2,5.3,106.5,168.3,274.8,317.7,
      Computer and information analysts,'15-1210,Summary,703.8,801.4,97.6,13.9,2.3,3.0,5.4,17.6,22.9,40.4,50.2,
        Computer systems analysts,'15-1211,Line item,521.1,566.5,45.5,8.7,2.5,2.9,5.5,13.8,15.9,29.7,34.2,
        Information security analysts,'15-1212,Line item,182.8,234.9,52.1,28.5,1.8,3.4,5.2,3.7,7.0,10.8,16.0,
      Computer and information research scientists,'15-1221,Line item,40.3,48.3,7.9,19.7,1.7,3.7,5.4,0.8,1.6,2.4,3.2,
      Computer support specialists,'15-1230,Summary,882.3,858.0,-24.2,-2.7,2.4,3.7,6.1,21.0,31.9,52.9,50.5,
        Computer network support specialists,'15-1231,Line item,152.7,155.5,2.8,1.8,2.4,3.7,6.1,3.7,5.7,9.4,9.6,
        Computer user support specialists,'15-1232,Line item,729.5,702.5,-27.0,-3.7,2.4,3.7,6.1,17.3,26.3,43.5,40.8,
      Database and network administrators and architects,'15-1240,Summary,655.6,668.4,12.9,2.0,1.9,3.0,4.8,12.5,19.6,32.0,33.3,
        Computer network architects,'15-1241,Line item,179.2,200.6,21.4,11.9,1.7,3.1,4.8,3.2,5.8,9.0,11.2,
        Database administrators,'15-1242,Line item,78.0,77.5,-0.5,-0.7,2.1,2.8,4.9,1.6,2.2,3.8,3.8,
        Database architects,'15-1243,Line item,66.9,72.7,5.8,8.7,2.1,2.8,4.9,1.5,2.0,3.4,4.0,
        Network and computer systems administrators,'15-1244,Line item,331.5,317.7,-13.8,-4.2,1.9,2.9,4.8,6.1,9.5,15.7,14.3,
"      Software and web developers, programmers, and testers",'15-1250,Summary,"2,231.5","2,527.7",296.1,13.3,1.8,3.2,5.0,43.2,76.3,119.6,149.2,
        Computer programmers,'15-1251,Line item,121.2,113.9,-7.2,-6.0,2.2,3.0,5.3,2.6,3.6,6.2,5.5,
        Software developers,'15-1252,Line item,"1,693.8","1,961.4",267.7,15.8,1.7,3.2,4.8,30.7,57.7,88.4,115.2,
        Software quality assurance analysts and testers,'15-1253,Line item,201.7,221.9,20.2,10.0,2.4,3.3,5.7,5.0,7.0,12.0,14.0,
        Web developers,'15-1254,Line item,86.0,92.5,6.5,7.5,1.9,3.5,5.4,1.7,3.1,4.8,5.4,
        Web and digital interface designers,'15-1255,Line item,128.9,137.9,9.0,7.0,2.4,3.7,6.1,3.2,4.9,8.2,9.1,
"      Computer occupations, all other",'15-1299,Line item,472.0,510.5,38.5,8.2,2.3,3.2,5.6,11.5,15.9,27.4,31.3,
    Mathematical science occupations,'15-2000,Summary,431.1,547.9,116.8,27.1,2.3,3.0,5.3,11.1,14.9,26.1,37.7,
      Actuaries,'15-2011,Line item,33.6,40.9,7.3,21.8,1.8,2.6,4.4,0.7,1.0,1.6,2.4,
      Mathematicians,'15-2021,Line item,2.4,2.4,0.0,-0.7,2.0,3.2,5.3,0.0,0.1,0.1,0.1,
      Operations research analysts,'15-2031,Line item,112.1,136.2,24.1,21.5,3.1,2.7,5.8,3.9,3.3,7.2,9.6,
      Statisticians,'15-2041,Line item,32.2,34.9,2.7,8.5,2.0,3.2,5.3,0.7,1.1,1.8,2.0,
      Data scientists,'15-2051,Line item,245.9,328.3,82.5,33.5,2.0,3.2,5.3,5.8,9.3,15.1,23.4,
"      Mathematical science occupations, all other",'15-2099,Line item,5.0,5.2,0.2,4.0,2.0,3.2,5.3,0.1,0.2,0.3,0.3,
  Architecture and engineering occupations,'17-0000,Summary,"2,648.4","2,788.3",139.9,5.3,2.5,3.8,6.3,68.4,104.1,172.5,186.5,
"    Architects, surveyors, and cartographers",'17-1000,Summary,215.0,223.9,8.9,4.1,2.9,3.3,6.2,6.3,7.2,13.5,14.4,
"      Architects, except naval",'17-1010,Summary,145.4,151.0,5.6,3.8,2.6,3.4,6.0,3.9,5.0,8.9,9.5,
"        Architects, except landscape and naval",'17-1011,Line item,123.6,128.4,4.8,3.9,2.5,3.3,5.8,3.1,4.2,7.3,7.8,
        Landscape architects,'17-1012,Line item,21.8,22.6,0.8,3.5,3.4,4.0,7.3,0.7,0.9,1.6,1.7,
"      Surveyors, cartographers, and photogrammetrists",'17-1020,Summary,69.6,72.9,3.3,4.8,3.4,3.1,6.4,2.4,2.2,4.6,4.9,
        Cartographers and photogrammetrists,'17-1021,Line item,13.4,14.3,0.9,6.4,3.4,3.1,6.4,0.5,0.4,0.9,1.0,
        Surveyors,'17-1022,Line item,56.1,58.6,2.5,4.4,3.4,3.1,6.4,1.9,1.8,3.7,3.9,
    Engineers,'17-2000,Summary,"1,790.3","1,913.3",123.0,6.9,2.1,3.4,5.5,39.7,62.6,102.3,114.6,
      Aerospace engineers,'17-2011,Line item,71.6,75.9,4.4,6.1,2.4,3.1,5.5,1.8,2.3,4.1,4.5,
      Agricultural engineers,'17-2021,Line item,1.7,1.8,0.1,5.9,2.0,3.4,5.4,0.0,0.1,0.1,0.1,
      Bioengineers and biomedical engineers,'17-2031,Line item,22.2,23.3,1.1,5.2,2.0,3.4,5.4,0.5,0.8,1.2,1.3,
      Chemical engineers,'17-2041,Line item,21.6,22.1,0.6,2.6,1.6,3.2,4.8,0.4,0.7,1.1,1.1,
      Civil engineers,'17-2051,Line item,368.9,387.5,18.5,5.0,2.1,3.7,5.8,7.8,14.0,21.8,23.6,
      Computer hardware engineers,'17-2061,Line item,76.8,82.4,5.6,7.3,2.0,3.2,5.2,1.6,2.6,4.2,4.7,
      Electrical and electronics engineers,'17-2070,Summary,287.9,307.6,19.7,6.9,2.2,3.0,5.2,6.6,8.9,15.5,17.5,
        Electrical engineers,'17-2071,Line item,192.0,205.7,13.8,7.2,2.2,3.0,5.2,4.4,5.9,10.4,11.7,
"        Electronics engineers, except computer",'17-2072,Line item,95.9,101.8,6.0,6.2,2.2,3.0,5.2,2.2,2.9,5.2,5.7,
      Environmental engineers,'17-2081,Line item,39.4,41.0,1.5,3.9,3.2,3.8,7.0,1.3,1.5,2.8,3.0,
"      Industrial engineers, including health and safety",'17-2110,Summary,374.9,414.5,39.6,10.6,2.2,3.6,5.8,8.5,14.2,22.8,26.8,
"        Health and safety engineers, except mining safety engineers and inspectors",'17-2111,Line item,23.8,24.9,1.1,4.4,2.2,3.6,5.8,0.5,0.9,1.4,1.5,
        Industrial engineers,'17-2112,Line item,351.1,389.6,38.5,11.0,2.2,3.6,5.8,8.0,13.4,21.4,25.2,
      Marine engineers and naval architects,'17-2121,Line item,8.5,9.0,0.5,5.8,2.7,3.9,6.6,0.2,0.3,0.6,0.6,
      Materials engineers,'17-2131,Line item,23.0,24.3,1.3,5.7,2.5,3.1,5.6,0.6,0.7,1.3,1.5,
      Mechanical engineers,'17-2141,Line item,293.1,319.6,26.5,9.1,1.9,3.2,5.1,5.8,9.7,15.5,18.1,
"      Mining and geological engineers, including mining safety engineers",'17-2151,Line item,7.0,7.0,0.0,0.7,2.0,4.0,6.0,0.1,0.3,0.4,0.4,
      Nuclear engineers,'17-2161,Line item,15.4,15.3,-0.2,-1.1,2.3,3.3,5.6,0.4,0.5,0.9,0.8,
      Petroleum engineers,'17-2171,Line item,19.6,19.8,0.2,1.3,2.0,4.0,6.0,0.4,0.8,1.2,1.2,
"      Engineers, all other",'17-2199,Line item,158.8,162.1,3.3,2.1,2.3,3.3,5.6,3.7,5.3,9.0,9.3,
"    Drafters, engineering technicians, and mapping technicians",'17-3000,Summary,643.1,651.2,8.1,1.3,3.5,5.3,8.8,22.5,34.3,56.7,57.5,
      Drafters,'17-3010,Summary,192.1,191.5,-0.6,-0.3,3.6,4.8,8.5,7.0,9.3,16.2,16.2,
        Architectural and civil drafters,'17-3011,Line item,110.5,115.1,4.6,4.1,3.8,4.6,8.4,4.3,5.2,9.5,10.0,
        Electrical and electronics drafters,'17-3012,Line item,21.6,20.4,-1.2,-5.6,3.4,5.1,8.5,0.7,1.1,1.8,1.7,
        Mechanical drafters,'17-3013,Line item,42.9,40.1,-2.8,-6.5,3.4,5.1,8.5,1.4,2.1,3.5,3.3,
"        Drafters, all other",'17-3019,Line item,17.1,15.9,-1.2,-6.9,3.4,5.1,8.5,0.6,0.8,1.4,1.3,
"      Engineering technologists and technicians, except drafters",'17-3020,Summary,391.6,397.7,6.0,1.5,3.4,5.0,8.4,13.3,19.9,33.1,33.7,
        Aerospace engineering and operations technologists and technicians,'17-3021,Line item,9.3,10.1,0.8,8.1,3.2,5.0,8.3,0.3,0.5,0.8,0.9,
        Civil engineering technologists and technicians,'17-3022,Line item,64.9,66.2,1.4,2.1,3.2,5.0,8.3,2.1,3.3,5.4,5.5,
        Electrical and electronic engineering technologists and technicians,'17-3023,Line item,93.7,94.3,0.6,0.6,3.8,5.0,8.8,3.6,4.7,8.3,8.4,
        Electro-mechanical and mechatronics technologists and technicians,'17-3024,Line item,15.0,15.1,0.2,1.1,3.2,5.0,8.3,0.5,0.8,1.2,1.3,
        Environmental engineering technologists and technicians,'17-3025,Line item,12.9,13.0,0.1,1.2,3.2,5.0,8.3,0.4,0.7,1.1,1.1,
        Industrial engineering technologists and technicians,'17-3026,Line item,74.6,75.9,1.3,1.7,3.2,5.0,8.3,2.4,3.8,6.2,6.3,
        Mechanical engineering technologists and technicians,'17-3027,Line item,38.3,38.3,0.0,0.0,3.2,5.0,8.3,1.2,1.9,3.2,3.2,
        Calibration technologists and technicians,'17-3028,Line item,15.8,16.5,0.7,4.7,3.2,5.0,8.3,0.5,0.8,1.3,1.4,
"        Engineering technologists and technicians, except drafters, all other",'17-3029,Line item,67.3,68.3,1.0,1.5,3.2,5.0,8.3,2.2,3.4,5.6,5.7,
      Surveying and mapping technicians,'17-3031,Line item,59.4,62.1,2.7,4.5,3.6,8.5,12.1,2.2,5.2,7.4,7.6,
"  Life, physical, and social science occupations",'19-0000,Summary,"1,609.5","1,690.4",80.9,5.0,2.0,6.3,8.3,33.3,103.4,136.7,144.7,
    Life scientists,'19-1000,Summary,404.8,428.8,24.0,5.9,1.7,4.5,6.2,7.0,18.9,26.0,28.4,
      Agricultural and food scientists,'19-1010,Summary,38.7,41.0,2.3,5.9,1.5,5.8,7.3,0.6,2.3,2.9,3.1,
        Animal scientists,'19-1011,Line item,2.8,2.9,0.2,5.8,1.5,5.8,7.3,0.0,0.2,0.2,0.2,
        Food scientists and technologists,'19-1012,Line item,15.2,16.2,1.0,6.5,1.5,5.8,7.3,0.2,0.9,1.1,1.2,
        Soil and plant scientists,'19-1013,Line item,20.7,21.8,1.1,5.4,1.5,5.8,7.3,0.3,1.2,1.6,1.7,
      Biological scientists,'19-1020,Summary,138.3,142.3,4.0,2.9,2.0,5.5,7.4,2.8,7.7,10.4,10.8,
        Biochemists and biophysicists,'19-1021,Line item,35.6,37.6,2.1,5.8,2.0,5.5,7.4,0.7,2.0,2.7,2.9,
        Microbiologists,'19-1022,Line item,20.7,21.6,0.8,4.1,2.0,5.5,7.4,0.4,1.2,1.6,1.7,
        Zoologists and wildlife biologists,'19-1023,Line item,18.2,18.5,0.3,1.6,2.0,5.5,7.4,0.4,1.0,1.4,1.4,
"        Biological scientists, all other",'19-1029,Line item,63.7,64.5,0.8,1.2,2.0,5.5,7.4,1.3,3.5,4.8,4.8,
      Conservation scientists and foresters,'19-1030,Summary,42.4,43.5,1.1,2.7,2.5,5.6,8.1,1.1,2.4,3.5,3.6,
        Conservation scientists,'19-1031,Line item,28.5,29.5,1.0,3.4,2.5,5.6,8.1,0.7,1.6,2.4,2.5,
        Foresters,'19-1032,Line item,13.8,14.0,0.2,1.2,2.5,5.6,8.1,0.3,0.8,1.1,1.1,
      Medical scientists,'19-1040,Summary,177.6,194.0,16.3,9.2,1.4,3.4,4.7,2.5,6.3,8.8,10.4,
        Epidemiologists,'19-1041,Line item,12.3,14.3,2.0,16.2,1.4,3.4,4.7,0.2,0.4,0.6,0.8,
"        Medical scientists, except epidemiologists",'19-1042,Line item,165.3,179.6,14.3,8.7,1.4,3.4,4.7,2.3,5.8,8.1,9.6,
"      Life scientists, all other",'19-1099,Line item,7.8,8.1,0.3,3.7,1.4,3.4,4.7,0.1,0.3,0.4,0.4,
    Physical scientists,'19-2000,Summary,284.9,295.7,10.8,3.8,1.8,5.5,7.3,5.4,16.0,21.3,22.4,
      Astronomers and physicists,'19-2010,Summary,26.4,27.4,1.0,3.9,2.4,3.8,6.2,0.6,1.0,1.7,1.8,
        Astronomers,'19-2011,Line item,1.8,1.8,0.0,2.2,2.4,3.8,6.2,0.0,0.1,0.1,0.1,
        Physicists,'19-2012,Line item,24.6,25.6,1.0,4.0,2.4,3.8,6.2,0.6,1.0,1.6,1.7,
      Atmospheric and space scientists,'19-2021,Line item,9.4,9.5,0.1,0.7,1.8,5.8,7.6,0.2,0.5,0.7,0.7,
      Chemists and materials scientists,'19-2030,Summary,95.5,100.2,4.7,4.9,1.6,5.0,6.6,1.6,4.9,6.5,7.0,
        Chemists,'19-2031,Line item,86.8,91.0,4.3,4.9,1.6,5.0,6.6,1.5,4.4,5.9,6.3,
        Materials scientists,'19-2032,Line item,8.7,9.1,0.4,4.9,1.6,5.0,6.6,0.1,0.4,0.6,0.6,
      Environmental scientists and geoscientists,'19-2040,Summary,121.7,126.5,4.8,4.0,2.0,6.5,8.5,2.4,8.0,10.5,11.0,
"        Environmental scientists and specialists, including health",'19-2041,Line item,90.3,94.3,4.0,4.4,2.0,6.8,8.8,1.8,6.3,8.1,8.5,
"        Geoscientists, except hydrologists and geographers",'19-2042,Line item,25.1,26.0,0.8,3.2,1.9,5.6,7.5,0.5,1.4,1.9,2.0,
        Hydrologists,'19-2043,Line item,6.3,6.3,0.0,-0.1,1.9,5.6,7.5,0.1,0.3,0.5,0.5,
"      Physical scientists, all other",'19-2099,Line item,31.9,32.1,0.2,0.6,1.6,4.5,6.1,0.5,1.5,1.9,2.0,
    Social scientists and related workers,'19-3000,Summary,339.9,352.5,12.6,3.7,2.5,3.8,6.3,8.5,13.3,21.8,23.1,
      Economists,'19-3011,Line item,17.6,17.8,0.2,1.2,1.5,3.7,5.2,0.3,0.7,0.9,0.9,
      Survey researchers,'19-3022,Line item,8.8,8.3,-0.5,-5.2,2.0,6.2,8.2,0.2,0.5,0.7,0.7,
      Psychologists,'19-3030,Summary,204.3,216.0,11.8,5.8,2.8,2.7,5.6,5.9,5.7,11.7,12.9,
        Industrial-organizational psychologists,'19-3032,Line item,5.6,5.9,0.3,6.3,3.7,2.7,6.4,0.2,0.2,0.4,0.4,
