2024 National Employment Matrix title,2024 National Employment Matrix code,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Top highest skill,Second highest skill,Third highest skill,Related Occupational Outlook Handbook (OOH) content
  Compliance officers,'13-1041,418.0,430.3,12.3,3.0,0.4,33.3,"78,420",Bachelor's degree,Writing and reading,Detail oriented,Customer service,OOH Content
  Cost estimators,'13-1051,221.4,212.1,-9.3,-4.2,0.3,16.9,"77,070",Bachelor's degree,Mathematics,Writing and reading,Critical and analytical thinking,OOH Content
  Human resources specialists,'13-1071,944.3,"1,002.7",58.4,6.2,0.5,81.8,"72,910",Bachelor's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
  Farm labor contractors,'13-1074,3.9,4.2,0.2,6.0,—,0.3,"48,690",No formal educational credential,Problem solving and decision making,Detail oriented,Leadership,—
  Labor relations specialists,'13-1075,65.4,65.4,-0.1,-0.1,0.5,5.1,"93,500",Bachelor's degree,Writing and reading,Adaptability,Problem solving and decision making,OOH Content
  Logisticians,'13-1081,241.0,281.3,40.3,16.7,0.3,26.4,"80,880",Bachelor's degree,Adaptability,Critical and analytical thinking,Problem solving and decision making,OOH Content
  Project management specialists[2],'13-1082,"1,046.3","1,105.0",58.7,5.6,1.8,78.2,"100,750",Bachelor's degree,Adaptability,Leadership,Writing and reading,OOH Content
  Management analysts,'13-1111,"1,075.1","1,169.7",94.5,8.8,13.7,98.1,"101,190",Bachelor's degree,Adaptability,Writing and reading,Problem solving and decision making,OOH Content
"  Meeting, convention, and event planners",'13-1121,155.8,163.3,7.5,4.8,5.1,15.5,"59,440",Bachelor's degree,Adaptability,Problem solving and decision making,Interpersonal,OOH Content
  Fundraisers,'13-1131,134.4,140.2,5.8,4.3,1.9,10.2,"66,490",Bachelor's degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Compensation, benefits, and job analysis specialists",'13-1141,107.0,112.7,5.6,5.3,—,8.5,"77,020",Bachelor's degree,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
  Training and development specialists,'13-1151,452.3,501.0,48.7,10.8,0.5,43.9,"65,850",Bachelor's degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
  Market research analysts and marketing specialists,'13-1161,941.7,"1,004.7",63.0,6.7,5.9,87.2,"76,950",Bachelor's degree,Writing and reading,Critical and analytical thinking,Adaptability,OOH Content
"  Business operations specialists, all other[2]",'13-1199,"1,205.7","1,242.0",36.3,3.0,1.4,108.2,"81,270",Bachelor's degree,Adaptability,Writing and reading,Problem solving and decision making,—
  Accountants and auditors,'13-2011,"1,579.8","1,652.6",72.8,4.6,4.6,124.2,"81,680",Bachelor's degree,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Property appraisers and assessors[2],'13-2020,77.3,80.2,2.9,3.8,21.1,6.3,"65,420",Bachelor's degree,Writing and reading,Computers and information technology,Problem solving and decision making,OOH Content
  Budget analysts,'13-2031,50.4,51.0,0.5,1.0,—,3.1,"87,930",Bachelor's degree,Mathematics,Problem solving and decision making,Adaptability,OOH Content
  Credit analysts,'13-2041,67.8,64.8,-3.0,-4.4,—,3.7,"80,970",Bachelor's degree,Adaptability,Critical and analytical thinking,Detail oriented,—
  Financial and investment analysts[2],'13-2051,368.5,389.6,21.1,5.7,5.0,25.1,"101,350",Bachelor's degree,Writing and reading,Problem solving and decision making,Adaptability,OOH Content
  Personal financial advisors,'13-2052,326.0,357.2,31.2,9.6,15.8,24.1,"102,140",Bachelor's degree,Writing and reading,Problem solving and decision making,Adaptability,OOH Content
  Insurance underwriters,'13-2053,127.0,123.7,-3.3,-2.6,—,8.2,"79,880",Bachelor's degree,Problem solving and decision making,Adaptability,Writing and reading,OOH Content
  Financial risk specialists[2],'13-2054,60.5,64.4,3.9,6.5,4.0,4.8,"106,000",Bachelor's degree,Mathematics,Writing and reading,Computers and information technology,OOH Content
  Financial examiners,'13-2061,65.1,77.2,12.1,18.5,0.4,5.7,"90,400",Bachelor's degree,Critical and analytical thinking,Writing and reading,Adaptability,OOH Content
  Credit counselors,'13-2071,31.8,32.9,1.1,3.3,1.4,2.2,"50,480",Bachelor's degree,Adaptability,Problem solving and decision making,Writing and reading,OOH Content
  Loan officers,'13-2072,301.4,306.5,5.0,1.7,2.1,20.3,"74,180",Bachelor's degree,Problem solving and decision making,Customer service,Adaptability,OOH Content
"  Tax examiners and collectors, and revenue agents",'13-2081,57.6,56.5,-1.0,-1.8,—,4.3,"59,740",Bachelor's degree,Adaptability,Detail oriented,Writing and reading,OOH Content
  Tax preparers,'13-2082,90.6,94.7,4.1,4.5,15.5,10.4,"50,560",High school diploma or equivalent,Adaptability,Detail oriented,Computers and information technology,—
"  Financial specialists, all other[2]",'13-2099,137.1,141.4,4.3,3.1,2.9,10.3,"80,190",Bachelor's degree,Adaptability,Writing and reading,Problem solving and decision making,—
  Computer systems analysts,'15-1211,521.1,566.5,45.5,8.7,2.2,34.2,"103,790",Bachelor's degree,Computers and information technology,Critical and analytical thinking,Problem solving and decision making,OOH Content
  Information security analysts,'15-1212,182.8,234.9,52.1,28.5,0.6,16.0,"124,910",Bachelor's degree,Computers and information technology,Adaptability,Writing and reading,OOH Content
  Computer and information research scientists,'15-1221,40.3,48.3,7.9,19.7,0.9,3.2,"140,910",Master's degree,Computers and information technology,Critical and analytical thinking,Problem solving and decision making,OOH Content
  Computer network support specialists,'15-1231,152.7,155.5,2.8,1.8,2.0,9.6,"73,340",Associate's degree,Adaptability,Computers and information technology,Detail oriented,OOH Content
  Computer user support specialists,'15-1232,729.5,702.5,-27.0,-3.7,2.0,40.8,"60,340","Some college, no degree",Computers and information technology,Adaptability,Writing and reading,OOH Content
  Computer network architects,'15-1241,179.2,200.6,21.4,11.9,0.4,11.2,"130,390",Bachelor's degree,Computers and information technology,Critical and analytical thinking,Writing and reading,OOH Content
  Database administrators,'15-1242,78.0,77.5,-0.5,-0.7,1.2,3.8,"104,620",Bachelor's degree,Computers and information technology,Detail oriented,Problem solving and decision making,OOH Content
  Database architects,'15-1243,66.9,72.7,5.8,8.7,1.4,4.0,"135,980",Bachelor's degree,Computers and information technology,Critical and analytical thinking,Problem solving and decision making,OOH Content
  Network and computer systems administrators,'15-1244,331.5,317.7,-13.8,-4.2,0.3,14.3,"96,800",Bachelor's degree,Computers and information technology,Adaptability,Critical and analytical thinking,OOH Content
  Computer programmers,'15-1251,121.2,113.9,-7.2,-6.0,6.2,5.5,"98,670",Bachelor's degree,Computers and information technology,Adaptability,Critical and analytical thinking,OOH Content
  Software developers[2],'15-1252,"1,693.8","1,961.4",267.7,15.8,1.6,115.2,"133,080",Bachelor's degree,Computers and information technology,Critical and analytical thinking,Writing and reading,OOH Content
  Software quality assurance analysts and testers,'15-1253,201.7,221.9,20.2,10.0,0.1,14.0,"102,610",Bachelor's degree,Computers and information technology,Adaptability,Critical and analytical thinking,OOH Content
  Web developers,'15-1254,86.0,92.5,6.5,7.5,5.3,5.4,"90,930",Bachelor's degree,Computers and information technology,Adaptability,Detail oriented,OOH Content
  Web and digital interface designers[2],'15-1255,128.9,137.9,9.0,7.0,10.1,9.1,"98,090",Bachelor's degree,Computers and information technology,Adaptability,Detail oriented,OOH Content
"  Computer occupations, all other[2]",'15-1299,472.0,510.5,38.5,8.2,3.9,31.3,"108,970",Bachelor's degree,Computers and information technology,Adaptability,Critical and analytical thinking,—
  Actuaries,'15-2011,33.6,40.9,7.3,21.8,—,2.4,"125,770",Bachelor's degree,Mathematics,Critical and analytical thinking,Writing and reading,OOH Content
  Mathematicians,'15-2021,2.4,2.4,0.0,-0.7,—,0.1,"121,680",Master's degree,Mathematics,Critical and analytical thinking,Writing and reading,OOH Content
  Operations research analysts,'15-2031,112.1,136.2,24.1,21.5,—,9.6,"91,290",Bachelor's degree,Mathematics,Critical and analytical thinking,Writing and reading,OOH Content
  Statisticians,'15-2041,32.2,34.9,2.7,8.5,1.3,2.0,"103,300",Master's degree,Mathematics,Computers and information technology,Writing and reading,OOH Content
  Data scientists[2],'15-2051,245.9,328.3,82.5,33.5,1.8,23.4,"112,590",Bachelor's degree,Mathematics,Computers and information technology,Writing and reading,OOH Content
"  Mathematical science occupations, all other[2]",'15-2099,5.0,5.2,0.2,4.0,1.4,0.3,"71,490",Bachelor's degree,Mathematics,Computers and information technology,Writing and reading,—
"  Architects, except landscape and naval",'17-1011,123.6,128.4,4.8,3.9,10.5,7.8,"96,690",Bachelor's degree,Adaptability,Critical and analytical thinking,Computers and information technology,OOH Content
  Landscape architects,'17-1012,21.8,22.6,0.8,3.5,10.4,1.7,"79,660",Bachelor's degree,Creativity and innovation,Adaptability,Writing and reading,OOH Content
  Cartographers and photogrammetrists,'17-1021,13.4,14.3,0.9,6.4,2.3,1.0,"78,380",Bachelor's degree,Computers and information technology,Detail oriented,Writing and reading,OOH Content
  Surveyors,'17-1022,56.1,58.6,2.5,4.4,4.3,3.9,"72,740",Bachelor's degree,Mathematics,Detail oriented,Computers and information technology,OOH Content
  Aerospace engineers,'17-2011,71.6,75.9,4.4,6.1,2.6,4.5,"134,830",Bachelor's degree,Critical and analytical thinking,Computers and information technology,Writing and reading,OOH Content
  Agricultural engineers,'17-2021,1.7,1.8,0.1,5.9,—,0.1,"84,630",Bachelor's degree,Computers and information technology,Critical and analytical thinking,Writing and reading,OOH Content
  Bioengineers and biomedical engineers,'17-2031,22.2,23.3,1.1,5.2,0.2,1.3,"106,950",Bachelor's degree,Computers and information technology,Critical and analytical thinking,Writing and reading,OOH Content
  Chemical engineers,'17-2041,21.6,22.1,0.6,2.6,5.1,1.1,"121,860",Bachelor's degree,Critical and analytical thinking,Mathematics,Detail oriented,OOH Content
  Civil engineers,'17-2051,368.9,387.5,18.5,5.0,1.3,23.6,"99,590",Bachelor's degree,Mathematics,Critical and analytical thinking,Problem solving and decision making,OOH Content
  Computer hardware engineers,'17-2061,76.8,82.4,5.6,7.3,1.1,4.7,"155,020",Bachelor's degree,Computers and information technology,Critical and analytical thinking,Writing and reading,OOH Content
  Electrical engineers,'17-2071,192.0,205.7,13.8,7.2,1.0,11.7,"111,910",Bachelor's degree,Computers and information technology,Writing and reading,Adaptability,OOH Content
"  Electronics engineers, except computer",'17-2072,95.9,101.8,6.0,6.2,0.9,5.7,"127,590",Bachelor's degree,Computers and information technology,Critical and analytical thinking,Writing and reading,OOH Content
  Environmental engineers,'17-2081,39.4,41.0,1.5,3.9,1.0,3.0,"104,170",Bachelor's degree,Writing and reading,Critical and analytical thinking,Problem solving and decision making,OOH Content
"  Health and safety engineers, except mining safety engineers and inspectors",'17-2111,23.8,24.9,1.1,4.4,—,1.5,"109,660",Bachelor's degree,Adaptability,Problem solving and decision making,Detail oriented,OOH Content
  Industrial engineers,'17-2112,351.1,389.6,38.5,11.0,0.2,25.2,"101,140",Bachelor's degree,Adaptability,Detail oriented,Writing and reading,OOH Content
  Marine engineers and naval architects,'17-2121,8.5,9.0,0.5,5.8,—,0.6,"105,670",Bachelor's degree,Writing and reading,Detail oriented,Critical and analytical thinking,OOH Content
  Materials engineers,'17-2131,23.0,24.3,1.3,5.7,—,1.5,"108,310",Bachelor's degree,Writing and reading,Critical and analytical thinking,Adaptability,OOH Content
  Mechanical engineers,'17-2141,293.1,319.6,26.5,9.1,1.2,18.1,"102,320",Bachelor's degree,Adaptability,Computers and information technology,Problem solving and decision making,OOH Content
"  Mining and geological engineers, including mining safety engineers",'17-2151,7.0,7.0,0.0,0.7,1.7,0.4,"101,020",Bachelor's degree,Problem solving and decision making,Writing and reading,Critical and analytical thinking,OOH Content
  Nuclear engineers,'17-2161,15.4,15.3,-0.2,-1.1,2.4,0.8,"127,520",Bachelor's degree,Critical and analytical thinking,Mathematics,Detail oriented,OOH Content
  Petroleum engineers,'17-2171,19.6,19.8,0.2,1.3,1.7,1.2,"141,280",Bachelor's degree,Problem solving and decision making,Writing and reading,Critical and analytical thinking,OOH Content
"  Engineers, all other[2]",'17-2199,158.8,162.1,3.3,2.1,2.1,9.3,"117,750",Bachelor's degree,Critical and analytical thinking,Adaptability,Computers and information technology,—
  Architectural and civil drafters,'17-3011,110.5,115.1,4.6,4.1,0.7,10.0,"64,280",Associate's degree,Computers and information technology,Adaptability,Detail oriented,OOH Content
  Electrical and electronics drafters,'17-3012,21.6,20.4,-1.2,-5.6,6.6,1.7,"73,720",Associate's degree,Computers and information technology,Detail oriented,Adaptability,OOH Content
  Mechanical drafters,'17-3013,42.9,40.1,-2.8,-6.5,6.6,3.3,"68,510",Associate's degree,Computers and information technology,Detail oriented,Adaptability,OOH Content
"  Drafters, all other[2]",'17-3019,17.1,15.9,-1.2,-6.9,6.5,1.3,"62,010",Associate's degree,Computers and information technology,Detail oriented,Adaptability,OOH Content
  Aerospace engineering and operations technologists and technicians,'17-3021,9.3,10.1,0.8,8.1,1.4,0.9,"79,830",Associate's degree,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Civil engineering technologists and technicians,'17-3022,64.9,66.2,1.4,2.1,0.8,5.5,"64,200",Associate's degree,Mathematics,Adaptability,Computers and information technology,OOH Content
  Electrical and electronic engineering technologists and technicians,'17-3023,93.7,94.3,0.6,0.6,0.1,8.4,"77,180",Associate's degree,Computers and information technology,Detail oriented,Adaptability,OOH Content
  Electro-mechanical and mechatronics technologists and technicians,'17-3024,15.0,15.1,0.2,1.1,1.5,1.3,"70,760",Associate's degree,Detail oriented,Computers and information technology,Adaptability,OOH Content
  Environmental engineering technologists and technicians,'17-3025,12.9,13.0,0.1,1.2,1.2,1.1,"58,890",Associate's degree,Adaptability,Detail oriented,Critical and analytical thinking,OOH Content
  Industrial engineering technologists and technicians,'17-3026,74.6,75.9,1.3,1.7,1.5,6.3,"64,790",Associate's degree,Problem solving and decision making,Detail oriented,Adaptability,OOH Content
  Mechanical engineering technologists and technicians,'17-3027,38.3,38.3,0.0,0.0,1.5,3.2,"68,730",Associate's degree,Detail oriented,Writing and reading,Problem solving and decision making,OOH Content
  Calibration technologists and technicians[2],'17-3028,15.8,16.5,0.7,4.7,1.5,1.4,"65,040",Associate's degree,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
"  Engineering technologists and technicians, except drafters, all other[2]",'17-3029,67.3,68.3,1.0,1.5,1.0,5.7,"77,390",Associate's degree,Detail oriented,Adaptability,Computers and information technology,—
  Surveying and mapping technicians,'17-3031,59.4,62.1,2.7,4.5,3.6,7.6,"51,940",High school diploma or equivalent,Computers and information technology,Detail oriented,Writing and reading,OOH Content
  Animal scientists,'19-1011,2.8,2.9,0.2,5.8,2.3,0.2,"79,120",Bachelor's degree,Writing and reading,Problem solving and decision making,Critical and analytical thinking,OOH Content
  Food scientists and technologists,'19-1012,15.2,16.2,1.0,6.5,3.3,1.2,"85,310",Bachelor's degree,Writing and reading,Adaptability,Critical and analytical thinking,OOH Content
  Soil and plant scientists,'19-1013,20.7,21.8,1.1,5.4,2.0,1.7,"71,410",Bachelor's degree,Writing and reading,Computers and information technology,Critical and analytical thinking,OOH Content
  Biochemists and biophysicists,'19-1021,35.6,37.6,2.1,5.8,1.7,2.9,"103,650",Doctoral or professional degree,Science,Writing and reading,Adaptability,OOH Content
  Microbiologists,'19-1022,20.7,21.6,0.8,4.1,1.3,1.7,"87,330",Bachelor's degree,Detail oriented,Writing and reading,Adaptability,OOH Content
  Zoologists and wildlife biologists,'19-1023,18.2,18.5,0.3,1.6,0.5,1.4,"72,860",Bachelor's degree,Writing and reading,Adaptability,Problem solving and decision making,OOH Content
"  Biological scientists, all other[2]",'19-1029,63.7,64.5,0.8,1.2,1.0,4.8,"93,330",Bachelor's degree,Writing and reading,Adaptability,Science,—
  Conservation scientists,'19-1031,28.5,29.5,1.0,3.4,3.5,2.5,"67,950",Bachelor's degree,Writing and reading,Computers and information technology,Adaptability,OOH Content
  Foresters,'19-1032,13.8,14.0,0.2,1.2,3.4,1.1,"70,660",Bachelor's degree,Problem solving and decision making,Writing and reading,Critical and analytical thinking,OOH Content
  Epidemiologists,'19-1041,12.3,14.3,2.0,16.2,—,0.8,"83,980",Master's degree,Writing and reading,Critical and analytical thinking,Problem solving and decision making,OOH Content
"  Medical scientists, except epidemiologists",'19-1042,165.3,179.6,14.3,8.7,0.6,9.6,"100,590",Doctoral or professional degree,Adaptability,Writing and reading,Critical and analytical thinking,OOH Content
"  Life scientists, all other[2]",'19-1099,7.8,8.1,0.3,3.7,—,0.4,"87,800",Bachelor's degree,Writing and reading,Adaptability,Critical and analytical thinking,—
  Astronomers,'19-2011,1.8,1.8,0.0,2.2,5.4,0.1,"132,170",Doctoral or professional degree,Mathematics,Writing and reading,Computers and information technology,OOH Content
  Physicists,'19-2012,24.6,25.6,1.0,4.0,8.7,1.7,"166,290",Doctoral or professional degree,Mathematics,Computers and information technology,Writing and reading,OOH Content
  Atmospheric and space scientists,'19-2021,9.4,9.5,0.1,0.7,—,0.7,"97,450",Bachelor's degree,Writing and reading,Adaptability,Critical and analytical thinking,OOH Content
  Chemists,'19-2031,86.8,91.0,4.3,4.9,1.0,6.3,"84,150",Bachelor's degree,Writing and reading,Detail oriented,Adaptability,OOH Content
  Materials scientists,'19-2032,8.7,9.1,0.4,4.9,1.1,0.6,"104,160",Bachelor's degree,Writing and reading,Critical and analytical thinking,Science,OOH Content
"  Environmental scientists and specialists, including health",'19-2041,90.3,94.3,4.0,4.4,1.5,8.5,"80,060",Bachelor's degree,Writing and reading,Adaptability,Critical and analytical thinking,OOH Content
"  Geoscientists, except hydrologists and geographers",'19-2042,25.1,26.0,0.8,3.2,7.0,2.0,"99,240",Bachelor's degree,Writing and reading,Critical and analytical thinking,Adaptability,OOH Content
  Hydrologists,'19-2043,6.3,6.3,0.0,-0.1,3.1,0.5,"92,060",Bachelor's degree,Writing and reading,Computers and information technology,Critical and analytical thinking,OOH Content
"  Physical scientists, all other[2]",'19-2099,31.9,32.1,0.2,0.6,17.5,2.0,"117,960",Bachelor's degree,Writing and reading,Adaptability,Critical and analytical thinking,—
  Economists,'19-3011,17.6,17.8,0.2,1.2,3.7,0.9,"115,440",Master's degree,Writing and reading,Mathematics,Critical and analytical thinking,OOH Content
  Survey researchers,'19-3022,8.8,8.3,-0.5,-5.2,4.0,0.7,"63,380",Master's degree,Writing and reading,Mathematics,Computers and information technology,OOH Content
  Industrial-organizational psychologists,'19-3032,5.6,5.9,0.3,6.3,80.5,0.4,"109,840",Master's degree,Writing and reading,Problem solving and decision making,Critical and analytical thinking,OOH Content
  Clinical and counseling psychologists,'19-3033,76.3,84.8,8.5,11.2,2.4,4.8,"95,830",Doctoral or professional degree,Interpersonal,Adaptability,Writing and reading,OOH Content
  School psychologists,'19-3034,67.2,67.7,0.5,0.7,5.3,3.8,"86,930",Master's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
"  Psychologists, all other[2]",'19-3039,55.3,57.7,2.4,4.3,65.9,3.9,"117,580",Master's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
  Sociologists,'19-3041,3.4,3.6,0.1,3.6,3.0,0.3,"101,690",Master's degree,Writing and reading,Adaptability,Critical and analytical thinking,OOH Content
  Urban and regional planners,'19-3051,44.7,46.2,1.5,3.4,—,3.4,"83,720",Master's degree,Adaptability,Writing and reading,Critical and analytical thinking,OOH Content
  Anthropologists and archeologists,'19-3091,8.8,9.2,0.3,3.7,3.6,0.8,"64,910",Master's degree,Writing and reading,Adaptability,Speaking and listening,OOH Content
  Geographers,'19-3092,1.5,1.5,0.0,-3.1,—,0.1,"97,200",Bachelor's degree,Writing and reading,Critical and analytical thinking,Computers and information technology,OOH Content
  Historians,'19-3093,3.4,3.5,0.1,2.2,2.0,0.3,"74,050",Master's degree,Writing and reading,Adaptability,Speaking and listening,OOH Content
  Political scientists,'19-3094,6.5,6.3,-0.2,-3.1,1.1,0.5,"139,380",Master's degree,Writing and reading,Speaking and listening,Adaptability,OOH Content
"  Social scientists and related workers, all other[2]",'19-3099,40.8,40.1,-0.7,-1.7,1.3,3.2,"100,340",Bachelor's degree,Adaptability,Writing and reading,Interpersonal,—
  Agricultural technicians,'19-4012,18.6,19.4,0.8,4.3,5.2,2.9,"46,790",Associate's degree,Detail oriented,Adaptability,Writing and reading,OOH Content
