2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment distribution, percent, 2024","Employment distribution, percent, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content xlsx,
        Fundraising managers,'11-2033,Line item,45.7,47.6,0.0,0.0,1.9,4.2,0.2,3.6,"123,480",Bachelor's degree,5 years or more,None,OOH Content,
    Operations specialties managers,'11-3000,Summary,"2,789.5","3,072.3",1.6,1.8,282.7,10.1,1.4,231.7,"140,330",—,—,—,—,
      Administrative services and facilities managers,'11-3010,Summary,422.6,440.9,0.2,0.3,18.3,4.3,0.0,36.4,"106,880",—,—,—,—,
        Administrative services managers,'11-3012,Line item,271.2,283.8,0.2,0.2,12.6,4.6,0.0,23.2,"108,390",Bachelor's degree,Less than 5 years,None,OOH Content,
        Facilities managers,'11-3013,Line item,151.4,157.1,0.1,0.1,5.7,3.8,—,13.2,"104,690",Bachelor's degree,Less than 5 years,None,OOH Content,
      Computer and information systems managers,'11-3021,Line item,667.1,768.7,0.4,0.4,101.6,15.2,0.9,55.6,"171,200",Bachelor's degree,5 years or more,None,OOH Content,
      Financial managers,'11-3031,Line item,868.6,997.4,0.5,0.6,128.8,14.8,2.4,74.6,"161,700",Bachelor's degree,5 years or more,None,OOH Content,
      Industrial production managers,'11-3051,Line item,241.9,246.5,0.1,0.1,4.6,1.9,2.6,17.1,"121,440",Bachelor's degree,5 years or more,None,OOH Content,
      Purchasing managers,'11-3061,Line item,83.5,86.1,0.0,0.0,2.6,3.1,0.8,6.4,"139,510",Bachelor's degree,5 years or more,None,OOH Content,
"      Transportation, storage, and distribution managers",'11-3071,Line item,216.7,229.8,0.1,0.1,13.1,6.1,1.7,18.5,"102,010",High school diploma or equivalent,5 years or more,None,OOH Content,
      Compensation and benefits managers,'11-3111,Line item,20.9,20.9,0.0,0.0,0.0,0.2,1.4,1.5,"140,360",Bachelor's degree,5 years or more,None,OOH Content,
      Human resources managers,'11-3121,Line item,221.9,233.0,0.1,0.1,11.1,5.0,0.6,17.9,"140,030",Bachelor's degree,5 years or more,None,OOH Content,
      Training and development managers,'11-3131,Line item,46.4,49.2,0.0,0.0,2.7,5.8,—,3.8,"127,090",Bachelor's degree,5 years or more,None,OOH Content,
    Other management occupations,'11-9000,Summary,"5,585.8","5,897.1",3.3,3.4,311.3,5.6,31.2,487.4,"104,030",—,—,—,—,
"      Farmers, ranchers, and other agricultural managers",'11-9013,Line item,836.1,825.0,0.5,0.5,-11.1,-1.3,62.6,85.5,"87,980",High school diploma or equivalent,5 years or more,None,OOH Content,
      Construction managers,'11-9021,Line item,550.3,598.4,0.3,0.3,48.1,8.7,35.8,46.8,"106,980",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
      Education and childcare administrators,'11-9030,Summary,710.2,708.2,0.4,0.4,-2.0,-0.3,2.2,45.6,"100,650",—,—,—,—,
"        Education and childcare administrators, preschool and daycare",'11-9031,Line item,90.2,87.9,0.1,0.1,-2.3,-2.5,4.9,5.5,"56,270",Bachelor's degree,Less than 5 years,None,OOH Content,
"        Education administrators, kindergarten through secondary",'11-9032,Line item,333.3,328.1,0.2,0.2,-5.1,-1.5,1.2,20.8,"104,070",Master's degree,5 years or more,None,OOH Content,
"        Education administrators, postsecondary",'11-9033,Line item,226.6,230.5,0.1,0.1,4.0,1.7,2.2,15.1,"103,960",Master's degree,Less than 5 years,None,OOH Content,
"        Education administrators, all other",'11-9039,Line item,60.2,61.7,0.0,0.0,1.5,2.5,3.5,4.1,"89,040",Bachelor's degree,Less than 5 years,None,—,
      Architectural and engineering managers,'11-9041,Line item,212.5,220.5,0.1,0.1,8.0,3.8,0.2,14.5,"167,740",Bachelor's degree,5 years or more,None,OOH Content,
      Food service managers,'11-9051,Line item,352.8,375.3,0.2,0.2,22.6,6.4,30.3,42.0,"65,310",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,OOH Content,
      Entertainment and recreation managers,'11-9070,Summary,48.3,51.7,0.0,0.0,3.4,7.0,8.5,6.1,"77,650",—,—,—,—,
        Gambling managers,'11-9071,Line item,5.1,5.2,0.0,0.0,0.1,1.2,7.7,0.6,"85,580",High school diploma or equivalent,Less than 5 years,None,OOH Content,
"        Entertainment and recreation managers, except gambling",'11-9072,Line item,43.2,46.5,0.0,0.0,3.3,7.7,8.6,5.5,"77,180",Bachelor's degree,Less than 5 years,None,OOH Content,
      Lodging managers,'11-9081,Line item,52.0,53.8,0.0,0.0,1.8,3.4,19.1,5.4,"68,130",High school diploma or equivalent,Less than 5 years,None,OOH Content,
      Medical and health services managers,'11-9111,Line item,616.2,759.1,0.4,0.4,142.9,23.2,5.1,62.1,"117,960",Bachelor's degree,Less than 5 years,None,OOH Content,
      Natural sciences managers,'11-9121,Line item,104.3,108.2,0.1,0.1,3.9,3.7,—,8.5,"161,180",Bachelor's degree,5 years or more,None,OOH Content,
      Postmasters and mail superintendents,'11-9131,Line item,13.1,12.7,0.0,0.0,-0.5,-3.5,—,0.9,"92,730",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,—,
"      Property, real estate, and community association managers",'11-9141,Line item,466.1,483.1,0.3,0.3,17.0,3.6,34.0,39.0,"66,700",High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,OOH Content,
      Social and community service managers,'11-9151,Line item,219.8,233.9,0.1,0.1,14.1,6.4,5.6,18.6,"78,240",Bachelor's degree,Less than 5 years,None,OOH Content,
      Emergency management directors,'11-9161,Line item,13.2,13.6,0.0,0.0,0.4,3.0,—,1.0,"86,130",Bachelor's degree,5 years or more,None,OOH Content,
      Personal service managers,'11-9170,Summary,57.1,60.1,0.0,0.0,3.0,5.2,55.3,4.6,"70,560",—,—,—,—,
        Funeral home managers,'11-9171,Line item,32.1,33.4,0.0,0.0,1.3,4.1,56.1,2.6,"76,830",Associate's degree,Less than 5 years,None,OOH Content,
"        Personal service managers, all other",'11-9179,Line item,25.1,26.7,0.0,0.0,1.6,6.5,54.3,2.1,"61,340",High school diploma or equivalent,Less than 5 years,None,—,
"      Managers, all other",'11-9199,Line item,"1,333.7","1,393.5",0.8,0.8,59.8,4.5,48.6,106.7,"136,550",Bachelor's degree,Less than 5 years,None,—,
  Business and financial operations occupations,'13-0000,Summary,"11,262.0","11,848.9",6.6,6.8,586.9,5.2,4.3,942.5,"80,920",—,—,—,—,
    Business operations specialists,'13-1000,Summary,"7,921.1","8,356.3",4.7,4.8,435.2,5.5,3.7,689.9,"80,410",—,—,—,—,
"      Agents and business managers of artists, performers, and athletes",'13-1011,Line item,21.4,23.2,0.0,0.0,1.9,8.7,26.1,2.2,"96,310",Bachelor's degree,Less than 5 years,None,—,
      Buyers and purchasing agents,'13-1020,Line item,522.2,552.3,0.3,0.3,30.1,5.8,4.7,52.2,"75,650",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
"      Claims adjusters, appraisers, examiners, and investigators",'13-1030,Summary,365.3,346.3,0.2,0.2,-18.9,-5.2,2.2,21.6,"76,790",—,—,—,—,
"        Claims adjusters, examiners, and investigators",'13-1031,Line item,356.1,337.9,0.2,0.2,-18.2,-5.1,2.2,21.1,"76,790",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
"        Insurance appraisers, auto damage",'13-1032,Line item,9.2,8.4,0.0,0.0,-0.8,-8.2,2.7,0.5,"76,650",Postsecondary nondegree award,None,Moderate-term on-the-job training,OOH Content,
      Compliance officers,'13-1041,Line item,418.0,430.3,0.2,0.2,12.3,3.0,0.4,33.3,"78,420",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
      Cost estimators,'13-1051,Line item,221.4,212.1,0.1,0.1,-9.3,-4.2,0.3,16.9,"77,070",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
      Human resources workers,'13-1070,Summary,"1,013.7","1,072.3",0.6,0.6,58.6,5.8,0.5,87.2,"74,220",—,—,—,—,
        Human resources specialists,'13-1071,Line item,944.3,"1,002.7",0.6,0.6,58.4,6.2,0.5,81.8,"72,910",Bachelor's degree,None,None,OOH Content,
        Farm labor contractors,'13-1074,Line item,3.9,4.2,0.0,0.0,0.2,6.0,—,0.3,"48,690",No formal educational credential,Less than 5 years,Short-term on-the-job training,—,
        Labor relations specialists,'13-1075,Line item,65.4,65.4,0.0,0.0,-0.1,-0.1,0.5,5.1,"93,500",Bachelor's degree,Less than 5 years,None,OOH Content,
      Logisticians and project management specialists,'13-1080,Summary,"1,287.2","1,386.2",0.8,0.8,99.0,7.7,1.5,104.7,"98,070",—,—,—,—,
        Logisticians,'13-1081,Line item,241.0,281.3,0.1,0.2,40.3,16.7,0.3,26.4,"80,880",Bachelor's degree,None,None,OOH Content,
        Project management specialists,'13-1082,Line item,"1,046.3","1,105.0",0.6,0.6,58.7,5.6,1.8,78.2,"100,750",Bachelor's degree,None,None,OOH Content,
      Management analysts,'13-1111,Line item,"1,075.1","1,169.7",0.6,0.7,94.5,8.8,13.7,98.1,"101,190",Bachelor's degree,Less than 5 years,None,OOH Content,
"      Meeting, convention, and event planners",'13-1121,Line item,155.8,163.3,0.1,0.1,7.5,4.8,5.1,15.5,"59,440",Bachelor's degree,None,None,OOH Content,
      Fundraisers,'13-1131,Line item,134.4,140.2,0.1,0.1,5.8,4.3,1.9,10.2,"66,490",Bachelor's degree,None,None,OOH Content,
"      Compensation, benefits, and job analysis specialists",'13-1141,Line item,107.0,112.7,0.1,0.1,5.6,5.3,—,8.5,"77,020",Bachelor's degree,Less than 5 years,None,OOH Content,
      Training and development specialists,'13-1151,Line item,452.3,501.0,0.3,0.3,48.7,10.8,0.5,43.9,"65,850",Bachelor's degree,Less than 5 years,None,OOH Content,
      Market research analysts and marketing specialists,'13-1161,Line item,941.7,"1,004.7",0.6,0.6,63.0,6.7,5.9,87.2,"76,950",Bachelor's degree,None,None,OOH Content,
"      Business operations specialists, all other",'13-1199,Line item,"1,205.7","1,242.0",0.7,0.7,36.3,3.0,1.4,108.2,"81,270",Bachelor's degree,None,None,—,
    Financial specialists,'13-2000,Summary,"3,340.9","3,492.6",2.0,2.0,151.7,4.5,5.6,252.6,"82,140",—,—,—,—,
      Accountants and auditors,'13-2011,Line item,"1,579.8","1,652.6",0.9,0.9,72.8,4.6,4.6,124.2,"81,680",Bachelor's degree,None,None,OOH Content,
      Property appraisers and assessors,'13-2020,Line item,77.3,80.2,0.0,0.0,2.9,3.8,21.1,6.3,"65,420",Bachelor's degree,None,Long-term on-the-job training,OOH Content,
      Budget analysts,'13-2031,Line item,50.4,51.0,0.0,0.0,0.5,1.0,—,3.1,"87,930",Bachelor's degree,None,None,OOH Content,
      Credit analysts,'13-2041,Line item,67.8,64.8,0.0,0.0,-3.0,-4.4,—,3.7,"80,970",Bachelor's degree,None,None,—,
      Financial analysts and advisors,'13-2050,Summary,881.9,934.9,0.5,0.5,53.0,6.0,8.2,62.3,"99,990",—,—,—,—,
        Financial and investment analysts,'13-2051,Line item,368.5,389.6,0.2,0.2,21.1,5.7,5.0,25.1,"101,350",Bachelor's degree,None,None,OOH Content,
        Personal financial advisors,'13-2052,Line item,326.0,357.2,0.2,0.2,31.2,9.6,15.8,24.1,"102,140",Bachelor's degree,None,Long-term on-the-job training,OOH Content,
        Insurance underwriters,'13-2053,Line item,127.0,123.7,0.1,0.1,-3.3,-2.6,—,8.2,"79,880",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
        Financial risk specialists,'13-2054,Line item,60.5,64.4,0.0,0.0,3.9,6.5,4.0,4.8,"106,000",Bachelor's degree,None,None,OOH Content,
      Financial examiners,'13-2061,Line item,65.1,77.2,0.0,0.0,12.1,18.5,0.4,5.7,"90,400",Bachelor's degree,None,Long-term on-the-job training,OOH Content,
      Credit counselors and loan officers,'13-2070,Summary,333.2,339.3,0.2,0.2,6.1,1.8,2.0,22.5,"69,040",—,—,—,—,
        Credit counselors,'13-2071,Line item,31.8,32.9,0.0,0.0,1.1,3.3,1.4,2.2,"50,480",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
        Loan officers,'13-2072,Line item,301.4,306.5,0.2,0.2,5.0,1.7,2.1,20.3,"74,180",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,OOH Content,
"      Tax examiners, collectors and preparers, and revenue agents",'13-2080,Summary,148.2,151.2,0.1,0.1,3.0,2.1,9.5,14.7,"56,160",—,—,—,—,
"        Tax examiners and collectors, and revenue agents",'13-2081,Line item,57.6,56.5,0.0,0.0,-1.0,-1.8,—,4.3,"59,740",Bachelor's degree,None,Moderate-term on-the-job training,OOH Content,
        Tax preparers,'13-2082,Line item,90.6,94.7,0.1,0.1,4.1,4.5,15.5,10.4,"50,560",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Financial specialists, all other",'13-2099,Line item,137.1,141.4,0.1,0.1,4.3,3.1,2.9,10.3,"80,190",Bachelor's degree,None,None,—,
  Computer and mathematical occupations,'15-0000,Summary,"5,416.7","5,962.3",3.2,3.4,545.6,10.1,2.0,355.4,"105,850",—,—,—,—,
    Computer occupations,'15-1200,Summary,"4,985.6","5,414.4",2.9,3.1,428.8,8.6,2.1,317.7,"105,990",—,—,—,—,
      Computer and information analysts,'15-1210,Summary,703.8,801.4,0.4,0.5,97.6,13.9,1.8,50.2,"106,890",—,—,—,—,
        Computer systems analysts,'15-1211,Line item,521.1,566.5,0.3,0.3,45.5,8.7,2.2,34.2,"103,790",Bachelor's degree,None,None,OOH Content,
        Information security analysts,'15-1212,Line item,182.8,234.9,0.1,0.1,52.1,28.5,0.6,16.0,"124,910",Bachelor's degree,Less than 5 years,None,OOH Content,
      Computer and information research scientists,'15-1221,Line item,40.3,48.3,0.0,0.0,7.9,19.7,0.9,3.2,"140,910",Master's degree,None,None,OOH Content,
      Computer support specialists,'15-1230,Summary,882.3,858.0,0.5,0.5,-24.2,-2.7,2.0,50.5,"61,550",—,—,—,—,
        Computer network support specialists,'15-1231,Line item,152.7,155.5,0.1,0.1,2.8,1.8,2.0,9.6,"73,340",Associate's degree,None,Moderate-term on-the-job training,OOH Content,
        Computer user support specialists,'15-1232,Line item,729.5,702.5,0.4,0.4,-27.0,-3.7,2.0,40.8,"60,340","Some college, no degree",None,Moderate-term on-the-job training,OOH Content,
      Database and network administrators and architects,'15-1240,Summary,655.6,668.4,0.4,0.4,12.9,2.0,0.6,33.3,"107,480",—,—,—,—,
        Computer network architects,'15-1241,Line item,179.2,200.6,0.1,0.1,21.4,11.9,0.4,11.2,"130,390",Bachelor's degree,5 years or more,None,OOH Content,
        Database administrators,'15-1242,Line item,78.0,77.5,0.0,0.0,-0.5,-0.7,1.2,3.8,"104,620",Bachelor's degree,None,None,OOH Content,
        Database architects,'15-1243,Line item,66.9,72.7,0.0,0.0,5.8,8.7,1.4,4.0,"135,980",Bachelor's degree,Less than 5 years,None,OOH Content,
        Network and computer systems administrators,'15-1244,Line item,331.5,317.7,0.2,0.2,-13.8,-4.2,0.3,14.3,"96,800",Bachelor's degree,None,None,OOH Content,
"      Software and web developers, programmers, and testers",'15-1250,Summary,"2,231.5","2,527.7",1.3,1.4,296.1,13.3,2.3,149.2,"129,320",—,—,—,—,
        Computer programmers,'15-1251,Line item,121.2,113.9,0.1,0.1,-7.2,-6.0,6.2,5.5,"98,670",Bachelor's degree,None,None,OOH Content,
        Software developers,'15-1252,Line item,"1,693.8","1,961.4",1.0,1.1,267.7,15.8,1.6,115.2,"133,080",Bachelor's degree,None,None,OOH Content,
        Software quality assurance analysts and testers,'15-1253,Line item,201.7,221.9,0.1,0.1,20.2,10.0,0.1,14.0,"102,610",Bachelor's degree,None,None,OOH Content,
        Web developers,'15-1254,Line item,86.0,92.5,0.1,0.1,6.5,7.5,5.3,5.4,"90,930",Bachelor's degree,None,None,OOH Content,
        Web and digital interface designers,'15-1255,Line item,128.9,137.9,0.1,0.1,9.0,7.0,10.1,9.1,"98,090",Bachelor's degree,None,None,OOH Content,
"      Computer occupations, all other",'15-1299,Line item,472.0,510.5,0.3,0.3,38.5,8.2,3.9,31.3,"108,970",Bachelor's degree,None,None,—,
    Mathematical science occupations,'15-2000,Summary,431.1,547.9,0.3,0.3,116.8,27.1,1.2,37.7,"104,620",—,—,—,—,
      Actuaries,'15-2011,Line item,33.6,40.9,0.0,0.0,7.3,21.8,—,2.4,"125,770",Bachelor's degree,None,Long-term on-the-job training,OOH Content,
      Mathematicians,'15-2021,Line item,2.4,2.4,0.0,0.0,0.0,-0.7,—,0.1,"121,680",Master's degree,None,None,OOH Content,
      Operations research analysts,'15-2031,Line item,112.1,136.2,0.1,0.1,24.1,21.5,—,9.6,"91,290",Bachelor's degree,None,None,OOH Content,
      Statisticians,'15-2041,Line item,32.2,34.9,0.0,0.0,2.7,8.5,1.3,2.0,"103,300",Master's degree,None,None,OOH Content,
      Data scientists,'15-2051,Line item,245.9,328.3,0.1,0.2,82.5,33.5,1.8,23.4,"112,590",Bachelor's degree,None,None,OOH Content,
"      Mathematical science occupations, all other",'15-2099,Line item,5.0,5.2,0.0,0.0,0.2,4.0,1.4,0.3,"71,490",Bachelor's degree,None,None,—,
  Architecture and engineering occupations,'17-0000,Summary,"2,648.4","2,788.3",1.6,1.6,139.9,5.3,1.9,186.5,"97,310",—,—,—,—,
"    Architects, surveyors, and cartographers",'17-1000,Summary,215.0,223.9,0.1,0.1,8.9,4.1,8.3,14.4,"82,990",—,—,—,—,
"      Architects, except naval",'17-1010,Summary,145.4,151.0,0.1,0.1,5.6,3.8,10.4,9.5,"94,010",—,—,—,—,
"        Architects, except landscape and naval",'17-1011,Line item,123.6,128.4,0.1,0.1,4.8,3.9,10.5,7.8,"96,690",Bachelor's degree,None,Internship/residency,OOH Content,
        Landscape architects,'17-1012,Line item,21.8,22.6,0.0,0.0,0.8,3.5,10.4,1.7,"79,660",Bachelor's degree,None,Internship/residency,OOH Content,
"      Surveyors, cartographers, and photogrammetrists",'17-1020,Summary,69.6,72.9,0.0,0.0,3.3,4.8,3.9,4.9,"74,120",—,—,—,—,
        Cartographers and photogrammetrists,'17-1021,Line item,13.4,14.3,0.0,0.0,0.9,6.4,2.3,1.0,"78,380",Bachelor's degree,None,None,OOH Content,
        Surveyors,'17-1022,Line item,56.1,58.6,0.0,0.0,2.5,4.4,4.3,3.9,"72,740",Bachelor's degree,None,Internship/residency,OOH Content,
    Engineers,'17-2000,Summary,"1,790.3","1,913.3",1.1,1.1,123.0,6.9,1.1,114.6,"106,070",—,—,—,—,
      Aerospace engineers,'17-2011,Line item,71.6,75.9,0.0,0.0,4.4,6.1,2.6,4.5,"134,830",Bachelor's degree,None,None,OOH Content,
      Agricultural engineers,'17-2021,Line item,1.7,1.8,0.0,0.0,0.1,5.9,—,0.1,"84,630",Bachelor's degree,None,None,OOH Content,
      Bioengineers and biomedical engineers,'17-2031,Line item,22.2,23.3,0.0,0.0,1.1,5.2,0.2,1.3,"106,950",Bachelor's degree,None,None,OOH Content,
      Chemical engineers,'17-2041,Line item,21.6,22.1,0.0,0.0,0.6,2.6,5.1,1.1,"121,860",Bachelor's degree,None,None,OOH Content,
      Civil engineers,'17-2051,Line item,368.9,387.5,0.2,0.2,18.5,5.0,1.3,23.6,"99,590",Bachelor's degree,None,None,OOH Content,
      Computer hardware engineers,'17-2061,Line item,76.8,82.4,0.0,0.0,5.6,7.3,1.1,4.7,"155,020",Bachelor's degree,None,None,OOH Content,
      Electrical and electronics engineers,'17-2070,Summary,287.9,307.6,0.2,0.2,19.7,6.9,1.0,17.5,"118,780",—,—,—,—,
        Electrical engineers,'17-2071,Line item,192.0,205.7,0.1,0.1,13.8,7.2,1.0,11.7,"111,910",Bachelor's degree,None,None,OOH Content,
"        Electronics engineers, except computer",'17-2072,Line item,95.9,101.8,0.1,0.1,6.0,6.2,0.9,5.7,"127,590",Bachelor's degree,None,None,OOH Content,
      Environmental engineers,'17-2081,Line item,39.4,41.0,0.0,0.0,1.5,3.9,1.0,3.0,"104,170",Bachelor's degree,None,None,OOH Content,
"      Industrial engineers, including health and safety",'17-2110,Summary,374.9,414.5,0.2,0.2,39.6,10.6,0.2,26.8,"101,490",—,—,—,—,
"        Health and safety engineers, except mining safety engineers and inspectors",'17-2111,Line item,23.8,24.9,0.0,0.0,1.1,4.4,—,1.5,"109,660",Bachelor's degree,None,None,OOH Content,
        Industrial engineers,'17-2112,Line item,351.1,389.6,0.2,0.2,38.5,11.0,0.2,25.2,"101,140",Bachelor's degree,None,None,OOH Content,
      Marine engineers and naval architects,'17-2121,Line item,8.5,9.0,0.0,0.0,0.5,5.8,—,0.6,"105,670",Bachelor's degree,None,None,OOH Content,
      Materials engineers,'17-2131,Line item,23.0,24.3,0.0,0.0,1.3,5.7,—,1.5,"108,310",Bachelor's degree,None,None,OOH Content,
      Mechanical engineers,'17-2141,Line item,293.1,319.6,0.2,0.2,26.5,9.1,1.2,18.1,"102,320",Bachelor's degree,None,None,OOH Content,
"      Mining and geological engineers, including mining safety engineers",'17-2151,Line item,7.0,7.0,0.0,0.0,0.0,0.7,1.7,0.4,"101,020",Bachelor's degree,None,None,OOH Content,
      Nuclear engineers,'17-2161,Line item,15.4,15.3,0.0,0.0,-0.2,-1.1,2.4,0.8,"127,520",Bachelor's degree,None,None,OOH Content,
      Petroleum engineers,'17-2171,Line item,19.6,19.8,0.0,0.0,0.2,1.3,1.7,1.2,"141,280",Bachelor's degree,None,None,OOH Content,
"      Engineers, all other",'17-2199,Line item,158.8,162.1,0.1,0.1,3.3,2.1,2.1,9.3,"117,750",Bachelor's degree,None,None,—,
"    Drafters, engineering technicians, and mapping technicians",'17-3000,Summary,643.1,651.2,0.4,0.4,8.1,1.3,1.9,57.5,"66,390",—,—,—,—,
      Drafters,'17-3010,Summary,192.1,191.5,0.1,0.1,-0.6,-0.3,3.2,16.2,"65,380",—,—,—,—,
        Architectural and civil drafters,'17-3011,Line item,110.5,115.1,0.1,0.1,4.6,4.1,0.7,10.0,"64,280",Associate's degree,None,None,OOH Content,
        Electrical and electronics drafters,'17-3012,Line item,21.6,20.4,0.0,0.0,-1.2,-5.6,6.6,1.7,"73,720",Associate's degree,None,None,OOH Content,
        Mechanical drafters,'17-3013,Line item,42.9,40.1,0.0,0.0,-2.8,-6.5,6.6,3.3,"68,510",Associate's degree,None,None,OOH Content,
"        Drafters, all other",'17-3019,Line item,17.1,15.9,0.0,0.0,-1.2,-6.9,6.5,1.3,"62,010",Associate's degree,None,None,OOH Content,
"      Engineering technologists and technicians, except drafters",'17-3020,Summary,391.6,397.7,0.2,0.2,6.0,1.5,0.9,33.7,"70,070",—,—,—,—,
        Aerospace engineering and operations technologists and technicians,'17-3021,Line item,9.3,10.1,0.0,0.0,0.8,8.1,1.4,0.9,"79,830",Associate's degree,None,None,OOH Content,
        Civil engineering technologists and technicians,'17-3022,Line item,64.9,66.2,0.0,0.0,1.4,2.1,0.8,5.5,"64,200",Associate's degree,None,None,OOH Content,
        Electrical and electronic engineering technologists and technicians,'17-3023,Line item,93.7,94.3,0.1,0.1,0.6,0.6,0.1,8.4,"77,180",Associate's degree,None,None,OOH Content,
        Electro-mechanical and mechatronics technologists and technicians,'17-3024,Line item,15.0,15.1,0.0,0.0,0.2,1.1,1.5,1.3,"70,760",Associate's degree,None,None,OOH Content,
        Environmental engineering technologists and technicians,'17-3025,Line item,12.9,13.0,0.0,0.0,0.1,1.2,1.2,1.1,"58,890",Associate's degree,None,None,OOH Content,
        Industrial engineering technologists and technicians,'17-3026,Line item,74.6,75.9,0.0,0.0,1.3,1.7,1.5,6.3,"64,790",Associate's degree,None,None,OOH Content,
        Mechanical engineering technologists and technicians,'17-3027,Line item,38.3,38.3,0.0,0.0,0.0,0.0,1.5,3.2,"68,730",Associate's degree,None,None,OOH Content,
        Calibration technologists and technicians,'17-3028,Line item,15.8,16.5,0.0,0.0,0.7,4.7,1.5,1.4,"65,040",Associate's degree,None,None,OOH Content,
"        Engineering technologists and technicians, except drafters, all other",'17-3029,Line item,67.3,68.3,0.0,0.0,1.0,1.5,1.0,5.7,"77,390",Associate's degree,None,None,—,
      Surveying and mapping technicians,'17-3031,Line item,59.4,62.1,0.0,0.0,2.7,4.5,3.6,7.6,"51,940",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"  Life, physical, and social science occupations",'19-0000,Summary,"1,609.5","1,690.4",0.9,1.0,80.9,5.0,4.7,144.7,"78,980",—,—,—,—,
    Life scientists,'19-1000,Summary,404.8,428.8,0.2,0.2,24.0,5.9,1.3,28.4,"90,500",—,—,—,—,
      Agricultural and food scientists,'19-1010,Summary,38.7,41.0,0.0,0.0,2.3,5.9,2.5,3.1,"78,770",—,—,—,—,
        Animal scientists,'19-1011,Line item,2.8,2.9,0.0,0.0,0.2,5.8,2.3,0.2,"79,120",Bachelor's degree,None,None,OOH Content,
        Food scientists and technologists,'19-1012,Line item,15.2,16.2,0.0,0.0,1.0,6.5,3.3,1.2,"85,310",Bachelor's degree,None,None,OOH Content,
        Soil and plant scientists,'19-1013,Line item,20.7,21.8,0.0,0.0,1.1,5.4,2.0,1.7,"71,410",Bachelor's degree,None,None,OOH Content,
